"","year","month","date","evaporation _sum","2m_temperature _max","2m_temperature _min","surface_net_solar_radiation _sum","surface_pressure _mean","total_precipitation _sum","10m_component_of_wind"
"1",16,1994,1,-0.000951270572841167,302.023681640625,288.1123046875,14287744,100119.893229167,0,7.04432309660324
"2",16,1994,1,-0.00108002824708819,301.706787109375,287.717041015625,14334720,100154.450520833,0,8.69562232143922
"3",16,1994,1,-0.00100931897759438,301.50146484375,287.21875,14498240,100309.229166667,0,10.4066852518595
"4",16,1994,1,-0.00118771195411682,302.5859375,286.39599609375,14465088,100200.151041667,0,8.7679372637395
"5",16,1994,1,-0.00124262156896293,301.825439453125,287.3056640625,14517824,99970.8984375,0,7.01188976157808
"6",16,1994,1,-0.00122061534784734,302.59033203125,288.998291015625,14551872,100039.5390625,0,7.86907561180237
"7",16,1994,1,-0.00106713571585715,303.501220703125,289.44970703125,14392704,100138.473958333,0,9.13235535350796
"8",16,1994,1,-0.0010754328686744,303.1787109375,290.83349609375,14103552,100118.640625,0,8.22674642785609
"9",16,1994,1,-0.00101481494493783,303.045166015625,289.742919921875,14313728,99970.6796875,0,5.92861881166246
"10",16,1994,1,-0.000850819749757648,302.476806640625,290.88671875,12767552,99737.6744791667,4.1961669921875e-05,4.19676709910332
"11",16,1994,1,-0.00100558181293309,299.4140625,289.103271484375,12229440,99677.4635416667,0.00252056121826172,11.304714767292
"12",16,1994,1,-0.00119035039097071,298.51123046875,286.915771484375,14084160,99941.2630208333,0,7.5641536054482
"13",16,1994,1,-0.0011726024094969,297.88427734375,285.6328125,14845120,100118.59375,0,10.2927289349924
"14",16,1994,1,-0.0010724060703069,297.0458984375,284.51513671875,15358912,99941.4583333333,0,14.1622158993574
"15",16,1994,1,-0.00114364828914404,297.35546875,283.669677734375,15449024,99839.2552083333,0,4.76754749785884
"16",16,1994,1,-0.00107721798121929,298.084228515625,284.222412109375,15496768,99946.4609375,0,7.06718909192121
"17",16,1994,1,-0.0010884222574532,298.32177734375,284.173828125,15620992,100003.848958333,0,6.88917930892658
"18",16,1994,1,-0.000827965559437871,298.99462890625,285.22607421875,15535296,100052.973958333,0,10.7897018725009
"19",16,1994,1,-0.000855844002217054,299.543701171875,285.98828125,15562944,100127.893229167,0,17.5594578705888
"20",16,1994,1,-0.000877161510288715,297.526123046875,285.64697265625,15873792,100231.7578125,0,20.3911290812435
"21",16,1994,1,-0.000788731966167688,299.394775390625,285.40673828125,15424128,100152.473958333,0,14.9809267476047
"22",16,1994,1,-0.000843432964757085,301.124267578125,288.979248046875,15157376,100048.557291667,0,10.55304803366
"23",16,1994,1,-0.000754437642171979,303.389892578125,290.53759765625,14969920,100128.684895833,0,7.85626315411627
"24",16,1994,1,-0.000935246935114264,305.196044921875,291.4267578125,15325184,100103.2578125,0,3.74934189425683
"25",16,1994,1,-0.00103180948644876,306.0498046875,292.82177734375,15018688,100028.622395833,0,11.8962787445646
"26",16,1994,1,-0.00100916903465986,304.865478515625,292.882568359375,15448064,100023.260416667,0,10.6490461817332
"27",16,1994,1,-0.00095925503410399,303.801513671875,291.841552734375,15611584,100252.466145833,0,9.4718130956771
"28",16,1994,1,-0.00119069125503302,303.879150390625,290.04931640625,15944768,100207.783854167,0,11.3977978874445
"29",16,1994,1,-0.00108366110362113,300.05712890625,285.397216796875,16292864,100089.03125,0,24.1725371700314
"30",16,1994,1,-0.00124630238860846,299.244384765625,285.272216796875,16537280,99893.5260416667,0,7.34264505893841
"31",16,1994,1,-0.00127524021081626,299.876708984375,285.137939453125,16655872,99796.078125,0,7.43396129121674
"32",16,1994,2,-0.00105383479967713,300.458740234375,285.40380859375,16624896,100026.296875,0,9.97803485515847
"33",16,1994,2,-0.0010431872215122,300.430419921875,286.6025390625,16856640,100121.958333333,0,22.1472270796238
"34",16,1994,2,-0.00108984927646816,301.4287109375,286.48046875,16820736,99944.71875,0,11.6535822850695
"35",16,1994,2,-0.0012037216220051,304.0126953125,289.83544921875,16785664,99824.7526041667,0,7.21839576118057
"36",16,1994,2,-0.000996032264083624,302.668212890625,289.90234375,16447744,99830.5963541667,0,6.54805892229839
"37",16,1994,2,-0.00122659164480865,302.71728515625,289.296875,16580736,99894.7630208333,0,3.52827748247457
"38",16,1994,2,-0.00116947386413813,302.798828125,289.4619140625,16635840,99793.4765625,0,11.6531998466441
"39",16,1994,2,-0.000805775169283152,300.688720703125,288.8544921875,16831680,99829.1875,0,16.7713930001437
"40",16,1994,2,-0.000891052186489105,300.51318359375,288.138671875,17608832,99896.5364583333,0,10.0492591747718
"41",16,1994,2,-0.00102426460944116,300.647216796875,286.57177734375,17608192,99779.6640625,0,8.56681868955089
"42",16,1994,2,-0.000788641395047307,300.992919921875,288.414306640625,16410880,99719.4973958333,0,11.3673497840699
"43",16,1994,2,-0.000850779702886939,302.223388671875,289.96630859375,17384128,99749.0989583333,0,5.21091704888336
"44",16,1994,2,-0.000989192631095648,302.659423828125,290.637939453125,17697792,99810.8619791667,0,4.76823092139809
"45",16,1994,2,-0.000871721422299743,302.23974609375,290.597412109375,17347648,99907.0416666667,0,8.48804474794589
"46",16,1994,2,-0.000984488287940621,303.4345703125,290.607666015625,16888320,99889.1119791667,0,14.6332048273425
"47",16,1994,2,-0.000919899670407176,301.71875,289.92626953125,17761536,100050.333333333,0,14.8483267818476
"48",16,1994,2,-0.000916871940717101,302.29541015625,289.942626953125,17797248,100152.557291667,0,16.2991396818809
"49",16,1994,2,-0.000963425962254405,303.287353515625,289.440185546875,17935488,99965.1354166667,0,10.445513422099
"50",16,1994,2,-0.00109329028055072,304.357177734375,291.289794921875,17891200,99695.7526041667,0,9.16023294854025
"51",16,1994,2,-0.000620240345597267,302.220947265625,289.43798828125,16136896,99750.8385416667,0,44.7269693470675
"52",16,1994,2,-0.00050553772598505,300.040283203125,287.19580078125,15314688,99822.5390625,0,53.2574561065046
"53",16,1994,2,-0.000670688226819038,299.61474609375,286.259033203125,18721088,99861.9427083333,0,6.68962461140409
"54",16,1994,2,-0.000826814444735646,301.219482421875,285.624267578125,19023232,99988.8307291667,0,6.92294591662807
"55",16,1994,2,-0.000904786633327603,303.22265625,287.060791015625,19106688,100128.8984375,0,7.42174912744167
"56",16,1994,2,-0.000958314398303628,305.040283203125,288.8955078125,18964288,100096.0625,0,7.75428475249437
"57",16,1994,2,-0.0011334172450006,306.352783203125,290.064697265625,18691712,99946.9739583333,0,13.7971478956615
"58",16,1994,2,-0.000921250553801656,306.356689453125,291.95458984375,18763328,99851.2135416667,0,12.7632340508892
"59",16,1994,2,-0.000895900651812553,304.9462890625,290.09375,19146432,100064.677083333,0,19.4735970582692
"60",16,1994,3,-0.00103672640398145,304.881591796875,289.439453125,19513600,100081.072916667,0,10.5975716343075
"61",16,1994,3,-0.00125185819342732,307.483154296875,293.623291015625,19380032,99889.1640625,0,7.51103029539481
